Mass (kg),r_cg_x (mm),r_cg_y (mm),r_cg_z (mm),Ixx (kg mm2),Iyx (kg mm2),Iyy (kg mm2),Izx (kg mm2),Izy (kg mm2),Izz (kg mm2)
0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
271.831,-16092.68,1430,0,603974560.767,6255526221.042,70423565987.401,0.000,0.000,70979433787.772
642.25,-15908.009,1430,0,1439214276.113,14610197260.480,162616018682.236,0.000,0.000,163929356016.711
1012.669,-15727.595,1430,0,2274453991.460,22775392963.741,250676150321.576,-0.001,0.000,252746957190.155
1383.088,-15548.018,1430,0,3109693706.807,30751113330.825,334698752580.607,-0.001,0.000,337527028983.289
1753.507,-15368.747,1430,0,3944933422.154,38537358361.733,414778617134.511,-0.001,0.000,418364363071.297
2123.926,-15189.622,1430,0,4780173137.500,46134128056.463,491010535658.474,-0.001,0.000,495353751129.363
2494.344,-15010.579,1430,0,5615412852.847,53541422415.016,563489299827.679,-0.001,0.000,568589984832.672
2864.763,-14831.585,1430,0,6450652568.194,60759241437.392,632309701317.311,-0.001,0.000,638167855856.407
3235.182,-14652.623,1430,0,7285892283.540,67787585123.592,697566531802.554,-0.001,0.000,704182155875.754
3605.231,-14473.863,1430,0,8120296759.172,74619709248.195,759294496012.867,-0.002,0.000,766666832150.636
