Mass (kg),r_cg_x (mm),r_cg_y (mm),r_cg_z (mm),Ixx (kg mm2),Iyx (kg mm2),Iyy (kg mm2),Izx (kg mm2),Izy (kg mm2),Izz (kg mm2)
0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
733.44,-11777.021,-1430,0,1640424788.262,-12350000000.000,101812659974.922,0.000,0.000,103312470569.442
1613.944,-11488.977,-1430,0,3625832373.994,-26520000000.000,213348863425.638,0.001,0.000,216649217901.558
2494.449,-11203.083,-1430,0,5611239959.725,-39960000000.000,313879630488.700,0.001,0.000,318980528846.020
3374.953,-10917.655,-1430,0,7596647545.456,-52690000000.000,403977113061.090,0.002,0.000,410878555299.810
4255.458,-10632.404,-1430,0,9582055131.188,-64700000000.000,484213463039.788,0.002,0.000,492915449159.907
5135.963,-10347.239,-1430,0,11567462716.919,-75990000000.000,555160832321.772,0.002,0.000,565663362323.291
6016.467,-10062.123,-1430,0,13552870302.651,-86570000000.000,617391372804.023,0.002,0.000,629694446686.942
6896.972,-9777.036,-1430,0,15538277888.382,-96430000000.000,671477236383.520,0.003,0.000,685580854147.838
7777.476,-9491.969,-1430,0,17523685474.113,-105600000000.000,717990574957.242,0.003,0.000,733894736602.960
8517.915,-9251.788,-1430,0,19180048902.643,-112700000000.000,751603910331.596,0.003,0.000,769022194217.236
